"Part";"Value";"Device";"Package";"Description";"";
"C1";"100nF";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";
"C2";"100nF";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";
"C3";"10uF";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";
"C4";"10uF";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";
"C5";"100nF";"C-EU025-024X044";"C025-024X044";"CAPACITOR, European symbol";"";
"IC2";"LD117AV";"LD117AV";"TO220L1";"Low drop fixed and adjustable positive voltage regulators 1 A";"";
"IC3";"7805T";"7805T";"TO220H";"Positive VOLTAGE REGULATOR";"";
"PC1";"CNY70";"CNY70";"4";"";"";
"PC2";"CNY70";"CNY70";"4";"";"";
"PC3";"CNY70";"CNY70";"4";"";"";
"PC4";"CNY70";"CNY70";"4";"";"";
"PC5";"CNY70";"CNY70";"4";"";"";
"R1";"150";"R-EU_0204/5";"0204/5";"RESISTOR, European symbol";"";
"R2";"150";"R-EU_0204/5";"0204/5";"RESISTOR, European symbol";"";
"R3";"150";"R-EU_0204/5";"0204/5";"RESISTOR, European symbol";"";
"R4";"150";"R-EU_0204/5";"0204/5";"RESISTOR, European symbol";"";
"R5";"150";"R-EU_0204/5";"0204/5";"RESISTOR, European symbol";"";
"R6";"330";"R-EU_0204/5";"0204/5";"RESISTOR, European symbol";"";
"R7";"330";"R-EU_0204/5";"0204/5";"RESISTOR, European symbol";"";
"R8";"330";"R-EU_0204/5";"0204/5";"RESISTOR, European symbol";"";
"R9";"330";"R-EU_0204/5";"0204/5";"RESISTOR, European symbol";"";
"R10";"330";"R-EU_0204/5";"0204/5";"RESISTOR, European symbol";"";
"R11";"680";"R-EU_0204/5";"0204/5";"RESISTOR, European symbol";"";
"R12";"10k";"R-EU_0204/5";"0204/5";"RESISTOR, European symbol";"";
"R13";"680";"R-EU_0204/5";"0204/5";"RESISTOR, European symbol";"";
"R14";"10k";"R-EU_0204/5";"0204/5";"RESISTOR, European symbol";"";
"R15";"680";"R-EU_0204/5";"0204/5";"RESISTOR, European symbol";"";
"R16";"10k";"R-EU_0204/5";"0204/5";"RESISTOR, European symbol";"";
"R17";"680";"R-EU_0204/5";"0204/5";"RESISTOR, European symbol";"";
"R18";"10k";"R-EU_0204/5";"0204/5";"RESISTOR, European symbol";"";
"R19";"680";"R-EU_0204/5";"0204/5";"RESISTOR, European symbol";"";
"R20";"10k";"R-EU_0204/5";"0204/5";"RESISTOR, European symbol";"";
"S1";"TL32PO";"TL32PO";"TL3XPO";"TINY SWITCH ON - MOM";"";
"ST1";"";"BLUE_PILL";"BLUE_PILL";"";"";
"TB66121";"TB6612FNG";"TB6612FNG";"TB6612FNG";"";"";
